"","x","y"
"1",-102,18.5
"2",-102,18
"3",-102.5,18
"4",-103,18
"5",-103.5,18
"6",-104,18
"7",-104,18.5
"8",-104.5,18.5
"9",-104.5,19
"10",-105,19
"11",-105.5,19
"12",-105.5,19.5
"13",-105.5,20
"14",-106,20
"15",-106,20.5
"16",-105.5,20.5
"17",-105.5,21
"18",-105.5,21.5
"19",-106,21.5
"20",-106,22
"21",-106,22.5
"22",-106,23
"23",-106.5,23
"24",-107,23
"25",-107,23.5
"26",-107,24
"27",-107.5,24
"28",-108,24
"29",-108,24.5
"30",-108.5,24.5
"31",-108.5,25
"32",-109,25
"33",-109.5,25
"34",-109.5,25.5
"35",-109.5,26
"36",-109.5,26.5
"37",-110,26.5
"38",-110,27
"39",-110.5,27
"40",-111,27
"41",-111,27.5
"42",-111.5,27.5
"43",-111.5,28
"44",-112,28
"45",-112,27.5
"46",-112,27
"47",-111.5,27
"48",-111.5,26.5
"49",-111,26.5
"50",-111,26
"51",-110.5,26
"52",-110.5,25.5
"53",-110.5,25
"54",-110,25
"55",-110,24.5
"56",-109.5,24.5
"57",-109.5,24
"58",-109.5,23.5
"59",-109,23.5
"60",-109,23
"61",-109.5,23
"62",-109.5,22.5
"63",-110,22.5
"64",-110.5,22.5
"65",-110.5,23
"66",-110.5,23.5
"67",-111,23.5
"68",-111,24
"69",-111.5,24
"70",-112,24
"71",-112,24.5
"72",-112.5,24.5
"73",-112.5,25
"74",-112.5,25.5
"75",-112.5,26
"76",-113,26
"77",-113,26.5
"78",-113.5,26.5
"79",-114,26.5
"80",-114,27
"81",-114.5,27
"82",-115,27
"83",-115,27.5
"84",-115.5,27.5
"85",-115.5,28
"86",-116,28
"87",-116,28.5
"88",-115.5,28.5
"89",-115,28.5
"90",-115,29
"91",-115.5,29
"92",-115.5,29.5
"93",-116,29.5
"94",-116,30
"95",-116.5,30
"96",-116.5,30.5
"97",-116.5,31
"98",-117,31
"99",-117,31.5
"100",-117,32
"101",-117.5,32
"102",-117.5,32.5
"103",-117.5,33
"104",-118,33
"105",-118,32.5
"106",-118.5,32.5
"107",-119,32.5
"108",-119,33
"109",-119.5,33
"110",-120,33
"111",-120,33.5
"112",-120.5,33.5
"113",-120.5,34
"114",-120.5,34.5
"115",-121,34.5
"116",-121,35
"117",-121.5,35
"118",-121.5,35.5
"119",-121.5,36
"120",-122,36
"121",-122,36.5
"122",-122.5,36.5
"123",-122.5,37
"124",-122.5,37.5
"125",-123,37.5
"126",-123,38
"127",-123.5,38
"128",-123.5,38.5
"129",-124,38.5
"130",-124,39
"131",-124,39.5
"132",-124.5,39.5
"133",-124.5,40
"134",-124.5,40.5
"135",-124.5,41
"136",-124.5,41.5
"137",-124.5,42
"138",-124.5,42.5
"139",-125,42.5
"140",-125,43
"141",-124.5,43
"142",-124.5,43.5
"143",-124.5,44
"144",-124.5,44.5
"145",-124.5,45
"146",-124.5,45.5
"147",-124,45.5
"148",-124,46
"149",-124.5,46
"150",-124.5,46.5
"151",-124.5,47
"152",-124.5,47.5
"153",-125,47.5
"154",-125,48
"155",-125,48.5
"156",-125.5,48.5
"157",-126,48.5
"158",-126,49
"159",-126.5,49
"160",-127,49
"161",-127,49.5
"162",-127.5,49.5
"163",-127.5,50
"164",-128,50
"165",-128.5,50
"166",-128.5,50.5
"167",-128.5,51
"168",-128.5,51.5
"169",-128.5,52
"170",-129,52
"171",-129,52.5
"172",-129.5,52.5
"173",-129.5,53
"174",-130,53
"175",-130.5,53
"176",-130.5,53.5
"177",-131,53.5
"178",-131,54
"179",-131,54.5
"180",-131.5,54.5
"181",-131.5,54
"182",-131.5,53.5
"183",-131.5,53
"184",-131,53
"185",-131,52.5
"186",-130.5,52.5
"187",-130.5,52
"188",-130.5,51.5
"189",-131,51.5
"190",-131.5,51.5
"191",-131.5,52
"192",-132,52
"193",-132,52.5
"194",-132.5,52.5
"195",-132.5,53
"196",-133,53
"197",-133,53.5
"198",-133.5,53.5
"199",-133.5,54
"200",-133.5,54.5
"201",-134,54.5
"202",-134,55
"203",-134,55.5
"204",-134.5,55.5
"205",-134.5,56
"206",-135,56
"207",-135,56.5
"208",-135.5,56.5
"209",-135.5,57
"210",-136,57
"211",-136,57.5
"212",-136.5,57.5
"213",-136.5,58
"214",-137,58
"215",-137.5,58
"216",-137.5,58.5
"217",-138,58.5
"218",-138.5,58.5
"219",-138.5,59
"220",-139,59
"221",-139.5,59
"222",-140,59
"223",-140,59.5
"224",-140.5,59.5
"225",-141,59.5
"226",-141.5,59.5
"227",-142,59.5
"228",-142,60
"229",-142.5,60
"230",-143,60
"231",-143.5,60
"232",-144,60
"233",-144.5,60
"234",-144.5,59.5
"235",-145,59.5
"236",-145,60
"237",-145.5,60
"238",-146,60
"239",-146.5,60
"240",-147,60
"241",-147.5,60
"242",-147.5,59.5
"243",-148,59.5
"244",-148,60
"245",-148.5,60
"246",-148.5,59.5
"247",-149,59.5
"248",-149.5,59.5
"249",-150,59.5
"250",-150,60
"251",-150,60.5
"252",-150,61
"253",-150,61.5
"254",-150,62
"255",-150,62.5
"256",-150,63
"257",-150,63.5
"258",-150,64
"259",-149.5,64
"260",-149.5,64.5
"261",-149.5,65
"262",-149.5,65.5
"263",-149,65.5
"264",-149,66
"265",-149,66.5
"266",-148.5,66.5
"267",-148.5,67
"268",-148.5,67.5
"269",-148.5,68
"270",-148,68
"271",-148,68.5
"272",-148,69
"273",-147.5,69
"274",-147.5,69.5
"275",-147,69.5
"276",-147,70
"277",-146.5,70
"278",-146.5,70.5
"279",-146,70.5
"280",-145.5,70.5
"281",-145.5,70
"282",-145,70
"283",-144.5,70
"284",-144,70
"285",-144,70.5
"286",-143.5,70.5
"287",-143,70.5
"288",-143,70
"289",-142.5,70
"290",-142,70
"291",-141.5,70
"292",-141,70
"293",-140.5,70
"294",-140,70
"295",-139.5,70
"296",-139,70
"297",-139,69.5
"298",-138.5,69.5
"299",-138,69.5
"300",-138,69
"301",-137.5,69
"302",-137,69
"303",-136.5,69
"304",-136,69
"305",-136,69.5
"306",-136,70
"307",-135.5,70
"308",-135.5,69.5
"309",-135,69.5
"310",-134.5,69.5
"311",-134.5,70
"312",-134,70
"313",-133.5,70
"314",-133,70
"315",-132.5,70
"316",-132,70
"317",-131.5,70
"318",-131,70
"319",-131,70.5
"320",-130.5,70.5
"321",-130,70.5
"322",-129.5,70.5
"323",-129.5,70
"324",-129,70
"325",-128.5,70
"326",-128.5,70.5
"327",-128.5,71
"328",-128,71
"329",-128,70.5
"330",-127.5,70.5
"331",-127,70.5
"332",-127,70
"333",-126.5,70
"334",-126,70
"335",-126,69.5
"336",-125.5,69.5
"337",-125.5,70
"338",-125,70
"339",-124.5,70
"340",-124,70
"341",-124,69.5
"342",-123.5,69.5
"343",-123.5,70
"344",-123,70
"345",-122.5,70
"346",-122,70
"347",-121.5,70
"348",-121.5,69.5
"349",-121,69.5
"350",-120.5,69.5
"351",-120.5,69
"352",-120,69
"353",-120,68.5
"354",-119.5,68.5
"355",-119,68.5
"356",-119,68
"357",-118.5,68
"358",-118,68
"359",-118,67.5
"360",-117.5,67.5
"361",-117.5,67
"362",-117,67
"363",-116.5,67
"364",-116.5,66.5
"365",-116,66.5
"366",-116,66
"367",-115.5,66
"368",-115,66
"369",-115,65.5
"370",-114.5,65.5
"371",-114,65.5
"372",-114,65
"373",-113.5,65
"374",-113.5,64.5
"375",-113,64.5
"376",-112.5,64.5
"377",-112.5,64
"378",-112,64
"379",-112,63.5
"380",-111.5,63.5
"381",-111,63.5
"382",-111,63
"383",-110.5,63
"384",-110,63
"385",-110,62.5
"386",-109.5,62.5
"387",-109.5,62
"388",-109,62
"389",-108.5,62
"390",-108.5,61.5
"391",-108,61.5
"392",-108,61
"393",-107.5,61
"394",-107,61
"395",-107,60.5
"396",-106.5,60.5
"397",-106,60.5
"398",-106,60
"399",-105.5,60
"400",-105.5,59.5
"401",-105,59.5
"402",-104.5,59.5
"403",-104.5,59
"404",-104,59
"405",-104,58.5
"406",-103.5,58.5
"407",-103,58.5
"408",-103,58
"409",-102.5,58
"410",-102.5,57.5
"411",-102,57.5
"412",-101.5,57.5
"413",-101.5,57
"414",-101,57
"415",-101,56.5
"416",-100.5,56.5
"417",-100.5,56
"418",-100,56
"419",-99.5,56
"420",-99.5,55.5
"421",-99,55.5
"422",-99,55
"423",-98.5,55
"424",-98,55
"425",-98,54.5
"426",-97.5,54.5
"427",-97.5,54
"428",-97,54
"429",-97,53.5
"430",-96.5,53.5
"431",-96,53.5
"432",-96,53
"433",-95.5,53
"434",-95.5,52.5
"435",-95,52.5
"436",-95,52
"437",-94.5,52
"438",-94.5,51.5
"439",-94,51.5
"440",-94,51
"441",-93.5,51
"442",-93.5,50.5
"443",-93,50.5
"444",-93,50
"445",-92.5,50
"446",-92.5,49.5
"447",-92,49.5
"448",-92,49
"449",-92,48.5
"450",-91.5,48.5
"451",-91.5,48
"452",-91.5,47.5
"453",-91,47.5
"454",-91,47
"455",-90.5,47
"456",-90.5,46.5
"457",-90.5,46
"458",-90.5,45.5
"459",-90,45.5
"460",-90,45
"461",-90,44.5
"462",-90,44
"463",-90,43.5
"464",-89.5,43.5
"465",-89.5,43
"466",-89.5,42.5
"467",-89.5,42
"468",-89.5,41.5
"469",-89.5,41
"470",-89.5,40.5
"471",-89.5,40
"472",-89.5,39.5
"473",-89.5,39
"474",-89.5,38.5
"475",-89.5,38
"476",-89.5,37.5
"477",-89.5,37
"478",-90,37
"479",-90,36.5
"480",-90,36
"481",-90,35.5
"482",-90,35
"483",-90,34.5
"484",-90.5,34.5
"485",-90.5,34
"486",-90.5,33.5
"487",-90.5,33
"488",-90.5,32.5
"489",-90.5,32
"490",-90.5,31.5
"491",-91,31.5
"492",-91,31
"493",-91,30.5
"494",-91,30
"495",-91,29.5
"496",-91.5,29.5
"497",-92,29.5
"498",-92.5,29.5
"499",-93,29.5
"500",-93.5,29.5
"501",-94,29.5
"502",-94.5,29.5
"503",-94.5,29
"504",-95,29
"505",-95,28.5
"506",-95.5,28.5
"507",-96,28.5
"508",-96,28
"509",-96.5,28
"510",-97,28
"511",-97,27.5
"512",-97,27
"513",-97,26.5
"514",-97,26
"515",-97,25.5
"516",-97,25
"517",-97.5,25
"518",-97.5,24.5
"519",-97.5,24
"520",-97.5,23.5
"521",-97.5,23
"522",-97.5,22.5
"523",-97.5,22
"524",-97.5,21.5
"525",-97,21.5
"526",-97,21
"527",-97,20.5
"528",-97.5,20.5
"529",-97.5,20
"530",-98,20
"531",-98,19.5
"532",-98.5,19.5
"533",-99,19.5
"534",-99.5,19.5
"535",-99.5,19
"536",-100,19
"537",-100.5,19
"538",-100.5,18.5
"539",-101,18.5
"540",-101.5,18.5
"541",-102,18.5
