species,LAT,LONG
Peromyscus maniculatus gambelii,24.45,-111.8333
Peromyscus maniculatus gambelii,27.7626,-113.543
Peromyscus maniculatus gambelii,27.5417,-113.708
Peromyscus maniculatus gambelii,28.0502,-113.867
Peromyscus maniculatus gambelii,29.7818,-114.344
Peromyscus maniculatus gambelii,30.9167,-115.483
Peromyscus maniculatus gambelii,31.1344,-115.649
Peromyscus maniculatus gambelii,32.0489,-115.906
Peromyscus maniculatus gambelii,31.85,-116.117
Peromyscus maniculatus gambelii,31.2158,-116.338
Peromyscus maniculatus gambelii,31.8672,-116.43
Peromyscus maniculatus gambelii,34.0544,-116.709
Peromyscus maniculatus gambelii,33.8331,-116.739
Peromyscus maniculatus gambelii,33.0417,-116.86722
Peromyscus maniculatus gambelii,33.4843,-116.911
Peromyscus maniculatus gambelii,33.7475,-116.97111
Peromyscus maniculatus gambelii,33.1674,-117.007
Peromyscus maniculatus gambelii,32.5342,-117.123
Peromyscus maniculatus gambelii,32.7153,-117.15639
Peromyscus maniculatus gambelii,33.034,-117.187
Peromyscus maniculatus gambelii,34.1711,-117.197
Peromyscus maniculatus gambelii,33.9361,-117.198
Peromyscus maniculatus gambelii,32.7905,-117.206
Peromyscus maniculatus gambelii,34.0483,-117.26
Peromyscus maniculatus gambelii,32.8472,-117.27333
Peromyscus maniculatus gambelii,34.0488,-117.277
Peromyscus maniculatus gambelii,33.7386,-117.285
Peromyscus maniculatus gambelii,33.8425,-117.424
Peromyscus maniculatus gambelii,34.3258,-117.427
Peromyscus maniculatus gambelii,33.6067,-117.432
Peromyscus maniculatus gambelii,33.4587,-117.533
Peromyscus maniculatus gambelii,33.8402,-117.588
Peromyscus maniculatus gambelii,33.6399,-117.789
Peromyscus maniculatus gambelii,34.4132,-117.824
Peromyscus maniculatus gambelii,33.9415,-117.848
Peromyscus maniculatus gambelii,36.0513,-117.937
Peromyscus maniculatus gambelii,35.6607,-118.022
Peromyscus maniculatus gambelii,37.4321,-118.08
Peromyscus maniculatus gambelii,33.7455,-118.101
Peromyscus maniculatus gambelii,35.0085,-118.136
Peromyscus maniculatus gambelii,36.59,-118.23
Peromyscus maniculatus gambelii,35.1108,-118.277
Peromyscus maniculatus gambelii,33.3831,-118.441
Peromyscus maniculatus gambelii,37.1125,-118.447
Peromyscus maniculatus gambelii,37.8787,-118.621
Peromyscus maniculatus gambelii,37.5612,-118.68
Peromyscus maniculatus gambelii,36.6039,-118.732
Peromyscus maniculatus gambelii,37.9789,-118.783
Peromyscus maniculatus gambelii,39.4763,-118.8564
Peromyscus maniculatus gambelii,38.0419,-118.866
Peromyscus maniculatus gambelii,35.3992,-118.878
Peromyscus maniculatus gambelii,37.933,-118.905
Peromyscus maniculatus gambelii,34.255,-118.944
Peromyscus maniculatus gambelii,36.7464,-118.974
Peromyscus maniculatus gambelii,38.5639,-118.978
Peromyscus maniculatus gambelii,37.631,-119
Peromyscus maniculatus gambelii,33.4756,-119.035
Peromyscus maniculatus gambelii,35.0593,-119.047
Peromyscus maniculatus gambelii,37.7195,-119.092
Peromyscus maniculatus gambelii,34.1129,-119.106
Peromyscus maniculatus gambelii,34.8128,-119.144
Peromyscus maniculatus gambelii,34.8214,-119.146
Peromyscus maniculatus gambelii,38.2559,-119.227
Peromyscus maniculatus gambelii,38.256,-119.227
Peromyscus maniculatus gambelii,37.7681,-119.2551
Peromyscus maniculatus gambelii,37.911,-119.257
Peromyscus maniculatus gambelii,37.7721,-119.2583
Peromyscus maniculatus gambelii,37.78,-119.2609
Peromyscus maniculatus gambelii,37.7782,-119.2612
Peromyscus maniculatus gambelii,37.7772,-119.264
Peromyscus maniculatus gambelii,37.4911,-119.271
Peromyscus maniculatus gambelii,37.4913,-119.271
Peromyscus maniculatus gambelii,34.8285,-119.3131
Peromyscus maniculatus gambelii,37.7978,-119.3362
Peromyscus maniculatus gambelii,37.7882,-119.3422
Peromyscus maniculatus gambelii,35.3986,-119.35
Peromyscus maniculatus gambelii,37.7904,-119.3512
Peromyscus maniculatus gambelii,34.6097,-119.365
Peromyscus maniculatus gambelii,37.9117,-119.424
Peromyscus maniculatus gambelii,35.1369,-119.474
Peromyscus maniculatus gambelii,37.4375,-119.481
Peromyscus maniculatus gambelii,38.4153,-119.522
Peromyscus maniculatus gambelii,37.7367,-119.598
Peromyscus maniculatus gambelii,35.3211,-119.641
Peromyscus maniculatus gambelii,38.3334,-119.643
Peromyscus maniculatus gambelii,36.6341,-119.754
Peromyscus maniculatus gambelii,36.3008,-119.783
Peromyscus maniculatus gambelii,36.3162,-119.919
Peromyscus maniculatus gambelii,35.4506,-120.334
Peromyscus maniculatus gambelii,37.5493,-120.3497
Peromyscus maniculatus gambelii,37.5291,-120.3513
Peromyscus maniculatus gambelii,37.546,-120.3586
Peromyscus maniculatus gambelii,35.6554,-120.376
Peromyscus maniculatus gambelii,37.5121,-120.3984
Peromyscus maniculatus gambelii,36.6236,-120.40528
Peromyscus maniculatus gambelii,37.6691,-120.4624
Peromyscus maniculatus gambelii,37.9499,-120.474
Peromyscus maniculatus gambelii,36.0662,-120.516
Peromyscus maniculatus gambelii,37.6213,-120.525
Peromyscus maniculatus gambelii,36.5963,-120.617
Peromyscus maniculatus gambelii,36.5951,-120.741
Peromyscus maniculatus gambelii,36.759,-120.858
Peromyscus maniculatus gambelii,36.6125,-120.933
Peromyscus maniculatus gambelii,36.1639,-121.131
Peromyscus maniculatus gambelii,36.547,-121.156
Peromyscus maniculatus gambelii,36.2727,-121.3456
Peromyscus maniculatus gambelii,37.105,-121.5639
Peromyscus maniculatus gambelii,37.37,-120.41
Peromyscus maniculatus gambelii,37.37,-120.41
Peromyscus maniculatus gambelii,37.37,-120.41
Peromyscus maniculatus gambelii,37.37,-120.41
Peromyscus maniculatus gambelii,37.37,-120.41
Peromyscus maniculatus gambelii,37.09,-119.72
Peromyscus maniculatus gambelii,33.37,-116.83
Peromyscus maniculatus gambelii,33.37,-116.83
Peromyscus maniculatus gambelii,33.37,-116.83
Peromyscus maniculatus gambelii,32.05,-115.91
Peromyscus maniculatus gambelii,32.05,-115.91
Peromyscus maniculatus gambelii,32.05,-115.91
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
Peromyscus maniculatus gambelii,34.22,-116.97
