species,LAT,LONG
Peromyscus maniculatus sonoriensis,40.6667,-104.3667
Peromyscus maniculatus sonoriensis,40.562,-104.438
Peromyscus maniculatus sonoriensis,39.6667,-104.983
Peromyscus maniculatus sonoriensis,38.1939,-105.13
Peromyscus maniculatus sonoriensis,41.2265,-105.271
Peromyscus maniculatus sonoriensis,40.104,-105.354
Peromyscus maniculatus sonoriensis,36.9932,-105.53
Peromyscus maniculatus sonoriensis,36.5851,-105.616
Peromyscus maniculatus sonoriensis,39.704,-105.629
Peromyscus maniculatus sonoriensis,35.6742,-105.657
Peromyscus maniculatus sonoriensis,33.3897,-105.673
Peromyscus maniculatus sonoriensis,32.7022,-105.7386
Peromyscus maniculatus sonoriensis,32.9572,-105.742
Peromyscus maniculatus sonoriensis,32.6992,-105.7515
Peromyscus maniculatus sonoriensis,32.7049,-105.7699
Peromyscus maniculatus sonoriensis,35.718,-105.831
Peromyscus maniculatus sonoriensis,33.0739,-106.0181
Peromyscus maniculatus sonoriensis,39.3667,-106.033
Peromyscus maniculatus sonoriensis,34.2534,-106.09
Peromyscus maniculatus sonoriensis,32.8224,-106.0932
Peromyscus maniculatus sonoriensis,33.5,-106.144
Peromyscus maniculatus sonoriensis,35.0614,-106.191
Peromyscus maniculatus sonoriensis,35.5053,-106.212
Peromyscus maniculatus sonoriensis,35.0561,-106.2426
Peromyscus maniculatus sonoriensis,40.85,-106.3
Peromyscus maniculatus sonoriensis,35.1329,-106.3658
Peromyscus maniculatus sonoriensis,35.2071,-106.412
Peromyscus maniculatus sonoriensis,36.4794,-106.437
Peromyscus maniculatus sonoriensis,39.1014,-106.563
Peromyscus maniculatus sonoriensis,35.0824,-106.622
Peromyscus maniculatus sonoriensis,33.9208,-106.657
Peromyscus maniculatus sonoriensis,37.0333,-106.833
Peromyscus maniculatus sonoriensis,40.7167,-106.85
Peromyscus maniculatus sonoriensis,41.7781,-106.926
Peromyscus maniculatus sonoriensis,35.6445,-107.008
Peromyscus maniculatus sonoriensis,34.8734,-107.069
Peromyscus maniculatus sonoriensis,34.456,-107.07
Peromyscus maniculatus sonoriensis,37.7,-107.1
Peromyscus maniculatus sonoriensis,33.9914,-107.15
Peromyscus maniculatus sonoriensis,41,-107.233
Peromyscus maniculatus sonoriensis,37.1986,-107.26
Peromyscus maniculatus sonoriensis,37.2335,-107.306
Peromyscus maniculatus sonoriensis,33.5753,-107.404
Peromyscus maniculatus sonoriensis,35.1503,-107.501
Peromyscus maniculatus sonoriensis,35.2523,-107.58
Peromyscus maniculatus sonoriensis,34.1823,-107.594
Peromyscus maniculatus sonoriensis,35.94,-107.716
Peromyscus maniculatus sonoriensis,37.6742,-107.751
Peromyscus maniculatus sonoriensis,37.1987,-107.812
Peromyscus maniculatus sonoriensis,37.2861,-108.039
Peromyscus maniculatus sonoriensis,35.7616,-108.066
Peromyscus maniculatus sonoriensis,36.9564,-108.211
Peromyscus maniculatus sonoriensis,36.3609,-108.3447
Peromyscus maniculatus sonoriensis,41.9822,-108.387
Peromyscus maniculatus sonoriensis,33.5264,-108.5414
Peromyscus maniculatus sonoriensis,33.5072,-108.5495
Peromyscus maniculatus sonoriensis,40.4472,-108.578
Peromyscus maniculatus sonoriensis,37.3489,-108.585
Peromyscus maniculatus sonoriensis,33.0869,-108.6755
Peromyscus maniculatus sonoriensis,39.1003,-108.734
Peromyscus maniculatus sonoriensis,41.8822,-108.793
Peromyscus maniculatus sonoriensis,41.9524,-108.966
Peromyscus maniculatus sonoriensis,36.4889,-108.989
Peromyscus maniculatus sonoriensis,36.0036,-109.05
Peromyscus maniculatus sonoriensis,40.0878,-109.177
Peromyscus maniculatus sonoriensis,33.9597,-109.506
Peromyscus maniculatus sonoriensis,40.1243,-110.401
Peromyscus maniculatus sonoriensis,41.7925,-110.53694
Peromyscus maniculatus sonoriensis,40.9261,-110.551
Peromyscus maniculatus sonoriensis,35.9278,-110.672
Peromyscus maniculatus sonoriensis,42.9006,-110.762
Peromyscus maniculatus sonoriensis,43.121,-110.925
Peromyscus maniculatus sonoriensis,45.5541,-111.0396
Peromyscus maniculatus sonoriensis,45.5541,-111.04
Peromyscus maniculatus sonoriensis,44.6567,-111.091
Peromyscus maniculatus sonoriensis,40.9,-111.2
Peromyscus maniculatus sonoriensis,42.1086,-111.2644
Peromyscus maniculatus sonoriensis,35.2493,-111.713
Peromyscus maniculatus sonoriensis,40.45,-112
Peromyscus maniculatus sonoriensis,40.4556,-112.0114
Peromyscus maniculatus sonoriensis,44.5659,-112.142
Peromyscus maniculatus sonoriensis,42.8833,-112.317
Peromyscus maniculatus sonoriensis,43.8833,-112.317
Peromyscus maniculatus sonoriensis,36.6005,-112.342
Peromyscus maniculatus sonoriensis,37.6304,-112.385
Peromyscus maniculatus sonoriensis,38.3425,-112.398
Peromyscus maniculatus sonoriensis,38.3392,-112.545
Peromyscus maniculatus sonoriensis,37.5323,-112.655
Peromyscus maniculatus sonoriensis,45.731,-112.676
Peromyscus maniculatus sonoriensis,42.3906,-112.781
Peromyscus maniculatus sonoriensis,42.7239,-112.781
Peromyscus maniculatus sonoriensis,43.3994,-112.791
Peromyscus maniculatus sonoriensis,40.0061,-112.817
Peromyscus maniculatus sonoriensis,42.7,-113.055
Peromyscus maniculatus sonoriensis,44.5425,-113.416
Peromyscus maniculatus sonoriensis,38.3461,-113.571
Peromyscus maniculatus sonoriensis,37.1042,-113.583
Peromyscus maniculatus sonoriensis,43.6689,-114.152
Peromyscus maniculatus sonoriensis,39.0056,-114.219
Peromyscus maniculatus sonoriensis,39.502,-114.881
Peromyscus maniculatus sonoriensis,42.7832,-114.898
Peromyscus maniculatus sonoriensis,42.7712,-114.953
Peromyscus maniculatus sonoriensis,39.2947,-115.444
Peromyscus maniculatus sonoriensis,36.3,-116.217
Peromyscus maniculatus sonoriensis,46.138,-116.409
Peromyscus maniculatus sonoriensis,43.3761,-116.459
Peromyscus maniculatus sonoriensis,45.2652,-116.689
Peromyscus maniculatus sonoriensis,46.8036,-116.868
Peromyscus maniculatus sonoriensis,38.5961,-116.897
Peromyscus maniculatus sonoriensis,39.2486,-117.07
Peromyscus maniculatus sonoriensis,38.1903,-117.074
Peromyscus maniculatus sonoriensis,45.6271,-117.139
