INDV,grp_75.grp,Latitude,Longitude
BM_78895,1,42.08,-113.74
BM_78900,1,42.08,-113.71
BM_78904,1,42.09,-113.7
BM_78907,1,42.09,-113.7
BM_79650,1,42.08,-113.7
BM_79651,1,42.08,-113.69
BM_79669,1,42.07,-113.68
BM_79675,1,42.09,-113.72
BM_79676,1,42.08,-113.68
BM_80111,1,42.08,-113.73
BM_80112,1,45.05,-123.93
BM_80113,1,45.05,-123.93
BM_80114,1,45.05,-123.93
BM_80115,1,45.05,-123.93
BM_80116,1,45.05,-123.93
BM_80117,1,45.05,-123.93
BM_80118,1,45.05,-123.93
BM_80119,1,45.05,-123.93
BM_80159,1,45.05,-123.93
BM_80265,1,44.81,-117.68
BM_80266,1,44.81,-117.68
BM_80267,1,44.81,-117.68
BM_80268,1,44.81,-117.68
BM_80269,1,44.81,-117.68
BM_80270,1,44.81,-117.68
BM_80271,1,44.81,-117.68
BM_80272,1,44.81,-117.68
BM_80273,1,44.81,-117.68
BM_80274,1,44.81,-117.68
DP_1,1,46.28,-113.99
DP_10,1,46.28,-113.99
DP_11,1,46.28,-113.99
DP_2,1,46.28,-113.99
DP_3,1,46.28,-113.99
DP_5,1,46.28,-113.99
DP_6,1,46.28,-113.99
DP_7,1,46.28,-113.99
DP_8,1,46.28,-113.99
DP_9,1,46.28,-113.99
FMNH_186230,1,38.52,-109.28
FMNH_186231,1,38.52,-109.28
FMNH_186232,1,38.52,-109.28
FMNH_186233,1,38.52,-109.28
FMNH_186234,1,38.52,-109.28
FMNH_186235,1,38.52,-109.28
FMNH_186236,1,38.53,-109.28
FMNH_186237,1,38.53,-109.28
FMNH_186239,1,38.53,-109.28
FMNH_186240,1,38.53,-109.28
FMNH_186475,1,41.16,-112.93
FMNH_186476,1,41.16,-112.93
FMNH_186477,1,41.16,-112.93
FMNH_186478,1,41.16,-112.93
FMNH_186479,1,41.16,-112.93
FMNH_186480,1,41.16,-112.93
FMNH_186481,1,41.16,-112.93
FMNH_186482,1,41.16,-112.93
FMNH_186483,1,41.16,-112.93
FMNH_186485,1,41.16,-112.93
FMNH_219725,1,41.69,-118.74
FMNH_219726,1,41.69,-118.74
FMNH_219727,1,41.69,-118.74
FMNH_219728,1,41.69,-118.74
FMNH_219729,1,41.69,-118.74
FMNH_219730,1,41.69,-118.74
FMNH_219731,1,41.69,-118.74
FMNH_219732,1,41.69,-118.74
FMNH_219733,1,41.69,-118.74
FMNH_219734,1,41.69,-118.74
FMNH_219735,1,41.69,-118.74
FMNH_219736,1,41.69,-118.74
JLB_161,2,37.37,-120.41
JLB_162,2,37.37,-120.41
JLB_164,2,37.37,-120.41
JLB_165,2,37.37,-120.41
JLB_166,2,37.37,-120.41
MSB_123069,1,34.82,-109.9
MSB_123100,1,34.87,-109.79
MSB_124063,1,34.05,-109.54
MSB_124516,1,35.86,-106.42
MSB_124517,1,35.86,-106.42
MSB_40606,2,37.09,-119.72
MSB_40697,1,40.99,-124.05
MSB_43431,1,47.22,-120.99
MSB_43437,1,47.22,-120.99
MSB_43442,1,47.22,-120.99
MSB_43631,1,41,-124.09
MSB_43633,1,41,-124.09
MSB_46243,1,31.53,-108.87
MSB_47792,2,33.37,-116.83
MSB_47794,2,33.37,-116.83
MSB_47795,2,33.37,-116.83
MSB_47797,2,32.05,-115.91
MSB_47800,2,32.05,-115.91
MSB_47801,2,32.05,-115.91
MSB_53334,1,38.47,-119.26
MSB_53335,1,38.47,-119.26
MSB_53338,1,38.47,-119.26
MSB_53342,1,44.33,-123.5
MSB_53344,1,44.33,-123.5
MSB_55813,1,35.52,-105.18
MVZ_198740,2,34.22,-116.97
MVZ_198741,2,34.22,-116.97
MVZ_198742,2,34.22,-116.97
MVZ_198743,2,34.22,-116.97
MVZ_198744,2,34.22,-116.97
MVZ_198745,2,34.22,-116.97
MVZ_198746,2,34.22,-116.97
MVZ_198747,2,34.22,-116.97
MVZ_198748,2,34.22,-116.97
MVZ_198750,2,34.22,-116.94
MVZ_198753,2,34.22,-116.94
MVZ_198757,2,34.22,-116.98
MVZ_198758,2,34.22,-116.98
MVZ_198759,2,34.22,-116.98
MVZ_198760,2,34.22,-116.98
MVZ_200045,2,34.79,-119
MVZ_200046,2,34.79,-119
MVZ_206952,2,34.79,-119
MVZ_208660,2,37.89,-122.23
MVZ_208661,2,34.79,-119
MVZ_208662,2,34.79,-119
MVZ_208671,2,34.79,-119
MVZ_208693,2,34.8,-119
MVZ_208694,2,34.8,-119
MVZ_208695,2,34.8,-119
MVZ_208697,2,34.8,-119
MVZ_217208,1,38.12,-119.48
MVZ_217209,1,38.12,-119.48
MVZ_217210,1,38.12,-119.48
MVZ_217211,1,38.12,-119.48
MVZ_217212,1,38.12,-119.48
MVZ_217213,1,38.12,-119.48
MVZ_217214,1,38.12,-119.48
MVZ_217215,1,38.12,-119.48
MVZ_217216,1,38.12,-119.48
MVZ_217217,1,38.12,-119.48
MVZ_217218,1,38.12,-119.48
MVZ_217219,1,38.12,-119.48
MVZ_217220,1,38.12,-119.48
MVZ_217223,1,38.12,-119.48
MVZ_227135,1,37.89,-122.24
MVZ_227136,1,38.5,-117.25
MVZ_227139,1,38.5,-117.25
MVZ_227141,1,38.5,-117.25
MVZ_227142,1,38.5,-117.25
MVZ_227143,1,38.5,-117.25
MVZ_232439,2,37.89,-122.25
MVZ_239610,2,34.81,-118.89
MVZ_239611,2,34.81,-118.89
MVZ_239612,2,34.81,-118.89
MVZ_239613,2,34.81,-118.89
MVZ_239617,2,34.81,-118.89
RAB_11,3,47.24,-121.19
RAB_2,1,47.24,-121.19
RAB_3,1,47.24,-121.19
RAB_4,1,47.24,-121.19
RAB_5,3,47.24,-121.19
RAB_7,1,47.24,-121.19
RAB_8,3,47.24,-121.19
UAM_35336,1,59.56,-133.67
UAM_35337,1,59.56,-133.67
UAM_35338,1,59.56,-133.67
UAM_35339,1,59.56,-133.67
UAM_35342,1,59.56,-133.67
UAM_35343,1,59.56,-133.67
UAM_71527,3,56.72,-129.78
UAM_71528,3,56.72,-129.78
UAM_71531,3,56.72,-129.78
UAM_71532,3,56.72,-129.78
UAM_71533,3,56.72,-129.78
UAM_71542,3,56.69,-129.77
UAM_71546,3,56.69,-129.77
UAM_71547,3,56.69,-129.77
UAM_71548,3,56.69,-129.77
UAM_71549,3,56.69,-129.77
UAM_71580,3,60.63,-135.17
UAM_71581,3,60.63,-135.17
UAM_71620,3,60.71,-135.2
UAM_71622,3,60.71,-135.2
