id,latitude,longitude,region,outgroup
RAB_11,47.24,-121.19,REGION_1,0
RAB_5,47.24,-121.19,REGION_1,0
RAB_8,47.24,-121.19,REGION_1,0
UAM_71527,56.72,-129.78,REGION_1,0
UAM_71528,56.72,-129.78,REGION_1,0
UAM_71531,56.72,-129.78,REGION_1,0
UAM_71532,56.72,-129.78,REGION_1,0
UAM_71533,56.72,-129.78,REGION_1,0
UAM_71542,56.69,-129.77,REGION_1,0
UAM_71546,56.69,-129.77,REGION_1,0
UAM_71547,56.69,-129.77,REGION_1,0
UAM_71548,56.69,-129.77,REGION_1,0
UAM_71549,56.69,-129.77,REGION_1,0
UAM_71580,60.63,-135.17,REGION_1,0
UAM_71581,60.63,-135.17,REGION_1,0
UAM_71620,60.71,-135.2,REGION_1,0
UAM_71622,60.71,-135.2,REGION_1,0
